"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","C527 Verify that validation message when a user enters an invalid SMS code during phone number confirmation.","User page verification (registrated via email)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","13","C427 The number of users on the page functionality","Admin functionality","Mon Aug 18 02:55:40 UTC 2025","skipped","Mon Aug 18 02:55:40 UTC 2025","","","",""
"","19","C390 - Verify 'Назад' button","Create Unit page tests","Mon Aug 18 02:55:05 UTC 2025","skipped","Mon Aug 18 02:55:05 UTC 2025","","","",""
"","20","C374 The ID, Назва and Категорія filters functionality for Список сервісів page - BG-007","Admin functionality","Mon Aug 18 02:55:33 UTC 2025","skipped","Mon Aug 18 02:55:33 UTC 2025","","","",""
"","21","C514 The Створити сервіс button functionality for Сервіси page","Admin functionality","Mon Aug 18 02:55:33 UTC 2025","skipped","Mon Aug 18 02:55:33 UTC 2025","","","",""
"","15","C433 The ID and Назва filters functionality for the Категорії техніки page","Admin functionality","Mon Aug 18 02:55:22 UTC 2025","skipped","Mon Aug 18 02:55:22 UTC 2025","","","",""
"","192","C240 [Edit] Edit the tender with empty/invalid input fields (another contact person)","Tenders functionality","Mon Aug 18 02:55:14 UTC 2025","broken","Mon Aug 18 02:55:14 UTC 2025","","","",""
"","15","C432 The Створити категорію button functionality for the Категорії техніки page","Admin functionality","Mon Aug 18 02:55:22 UTC 2025","skipped","Mon Aug 18 02:55:22 UTC 2025","","","",""
"","12","C422 The Знайти по назві search field functionality","Admin functionality","Mon Aug 18 02:55:40 UTC 2025","skipped","Mon Aug 18 02:55:40 UTC 2025","","","",""
"","19","C401 - Verify uploading of invalid file type","Create Unit page tests","Mon Aug 18 02:55:05 UTC 2025","skipped","Mon Aug 18 02:55:05 UTC 2025","","","",""
"","21","C512 The Перегляд сервісу button functionality for Список сервісів page","Admin functionality","Mon Aug 18 02:55:33 UTC 2025","skipped","Mon Aug 18 02:55:33 UTC 2025","","","",""
"","21","C513 The Редагувати сервіс button functionality for Список сервісів page","Admin functionality","Mon Aug 18 02:55:33 UTC 2025","skipped","Mon Aug 18 02:55:33 UTC 2025","","","",""
"","232","C547 Verify """"Номер телефону"""" and email sections, with unfilled personal info account (account registrated using email)","User page verification (registrated via email)","Mon Aug 18 02:55:18 UTC 2025","broken","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","19","C384 - Verify same images uploading","Create Unit page tests","Mon Aug 18 02:55:05 UTC 2025","skipped","Mon Aug 18 02:55:05 UTC 2025","","","",""
"","165","C342 Verify that the """"Виберіть тип особи"""", """"РНОКПП (ІПН)"""", """"Тип юридичної особи"""" fields work correctly and that ""ЄДРПОУ для юридичних осіб"" field accept only digits","User page verification (verified phone account)","Mon Aug 18 02:55:18 UTC 2025","broken","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","19","C373 The Створити категорію button functionality for Категорії сервісів page","Admin functionality","Mon Aug 18 02:55:33 UTC 2025","skipped","Mon Aug 18 02:55:33 UTC 2025","","","",""
"","14","C380 Verify that the user is able to change the profile photo","User page verification (verified phone account)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","12","C424 The Редагування даних користувача button functionality Blocker phone number field","Admin functionality","Mon Aug 18 02:55:40 UTC 2025","skipped","Mon Aug 18 02:55:40 UTC 2025","","","",""
"","14","C265 Filter the tenders (Region)","Tenders functionality","Mon Aug 18 02:55:14 UTC 2025","skipped","Mon Aug 18 02:55:14 UTC 2025","","","",""
"","12","C260 View the tenders in the list","Tenders functionality","Mon Aug 18 02:55:14 UTC 2025","skipped","Mon Aug 18 02:55:14 UTC 2025","","","",""
"","23","C350 Verify that validation message 'Код ЄДРПОУ не може бути коротше 8 символів' appears when user input less than 8 digits","User page verification (registrated via email)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","123","should successfully retrieve a single tender by ID","Tender API Endpoints","Mon Aug 18 02:55:42 UTC 2025","broken","Mon Aug 18 02:55:42 UTC 2025","","GET /tender/{id}/","",""
"","18","C369 The number of service categories on the page functionality for Категорії сервісів page","Admin functionality","Mon Aug 18 02:55:33 UTC 2025","skipped","Mon Aug 18 02:55:33 UTC 2025","","","",""
"","11","C511 The tabs wrapper are displayed","Admin functionality","Mon Aug 18 02:55:36 UTC 2025","skipped","Mon Aug 18 02:55:36 UTC 2025","","","",""
"","5443","should create a tender with correct date selection","Tenders functionality","Tue May 20 14:39:53 UTC 2025","failed","Tue May 20 14:39:58 UTC 2025","","","",""
"","124","Authorization with valid phone and password","C202 Login Verification 2.0","Mon Aug 18 02:55:11 UTC 2025","broken","Mon Aug 18 02:55:11 UTC 2025","","","",""
"","13","C263 Filter the tenders (Category)","Tenders functionality","Mon Aug 18 02:55:14 UTC 2025","skipped","Mon Aug 18 02:55:14 UTC 2025","","","",""
"","4844","C264 Filter the tenders (Budget)","Tenders functionality","Tue May 20 14:40:11 UTC 2025","passed","Tue May 20 14:40:16 UTC 2025","","","",""
"","12","C261 Search the tender","Tenders functionality","Mon Aug 18 02:55:14 UTC 2025","skipped","Mon Aug 18 02:55:14 UTC 2025","","","",""
"","15","C379 Verify that the user unable to change the profile photo to one of the image with unavailable size of the image [>5MB]","User page verification (verified phone account)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","111","should successfully retrieve a single attachment file by ID and validate schema","Tender API Endpoints","Mon Aug 18 02:55:42 UTC 2025","broken","Mon Aug 18 02:55:42 UTC 2025","","GET /tender/attachment-file/{id}/","",""
"","111","should successfully retrieve a list of tenders for map (Status 200)","Tender API Endpoints","Mon Aug 18 02:55:45 UTC 2025","broken","Mon Aug 18 02:55:45 UTC 2025","","GET /tenders/map/ - Retrieve Tenders for Map","",""
"","149","C326 Verify """"Скасувати"""" button","Create Unit page tests","Mon Aug 18 02:55:07 UTC 2025","broken","Mon Aug 18 02:55:07 UTC 2025","","","",""
"","24","C351 Verify that validation message 'Код ІПН не може бути коротше 10 символів' appears when user input less than 10 digits","User page verification (registrated via email)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","13","C207 Authorization with invalid credentials (phone number)","Login verification","Mon Aug 18 02:55:11 UTC 2025","skipped","Mon Aug 18 02:55:11 UTC 2025","","","",""
"","133","should successfully retrieve a list of closed tenders (Status 200)","Tender API Endpoints","Mon Aug 18 02:55:42 UTC 2025","broken","Mon Aug 18 02:55:42 UTC 2025","","GET /tender/closed/","",""
"","141","C397 The Панель стану menu section functionality","Admin functionality","Mon Aug 18 02:55:36 UTC 2025","broken","Mon Aug 18 02:55:36 UTC 2025","","","",""
"","215","C201 Authorization with valid email and password","Login verification","Mon Aug 18 02:55:11 UTC 2025","broken","Mon Aug 18 02:55:11 UTC 2025","","","",""
"","163","C399 The Аналітика menu functionality","Admin functionality","Mon Aug 18 02:55:26 UTC 2025","broken","Mon Aug 18 02:55:26 UTC 2025","","","",""
"","13","C264 Filter the tenders (Budget)","Tenders functionality","Mon Aug 18 02:55:14 UTC 2025","skipped","Mon Aug 18 02:55:14 UTC 2025","","","",""
"","21","C358 Verify that user unable to input more than 50 symbols in 'Telegram' field","User page verification (registrated via email)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","11","C400 The filter buttons functionality","Admin functionality","Mon Aug 18 02:55:26 UTC 2025","skipped","Mon Aug 18 02:55:26 UTC 2025","","","",""
"","20","C393 - Verify 'Далі' button","Create Unit page tests","Mon Aug 18 02:55:05 UTC 2025","skipped","Mon Aug 18 02:55:05 UTC 2025","","","",""
"","128","should retrieve tenders filtered by category","Tender API Endpoints","Mon Aug 18 02:55:44 UTC 2025","failed","Mon Aug 18 02:55:44 UTC 2025","","GET /tenders/","",""
"","157","should return a valid list of attachment files","Tender API Endpoints","Mon Aug 18 02:55:41 UTC 2025","broken","Mon Aug 18 02:55:42 UTC 2025","","GET /tender/attachment-file/","",""
"","138","should successfully retrieve a list of authenticated user's closed tenders","Tender API Endpoints","Mon Aug 18 02:55:42 UTC 2025","broken","Mon Aug 18 02:55:42 UTC 2025","","GET /tender/history/","",""
"","3571","C261 Search the tender","Tenders functionality","Tue May 20 14:40:00 UTC 2025","passed","Tue May 20 14:40:04 UTC 2025","","","",""
"","148","C438 The Створити виробника button functionality for the Виробники техніки page","Admin functionality","Mon Aug 18 02:55:29 UTC 2025","skipped","Mon Aug 18 02:55:29 UTC 2025","","","",""
"","4534","C265 Filter the tenders (Region)","Tenders functionality","Tue May 20 14:40:18 UTC 2025","passed","Tue May 20 14:40:22 UTC 2025","","","",""
"","14","C359 Verify that 'Некоректно введена назва населеного пункту' validation message appears when user fill 'Населений пункт ' field with random input","User page verification (verified phone account)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","23","C525 erify that validation message when a user clicks on the 'Зберегти' button without a confirmation phone number.","User page verification (registrated via email)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","19","С370 The Перегляд категорії button functionality for Категорії сервісів page","Admin functionality","Mon Aug 18 02:55:33 UTC 2025","skipped","Mon Aug 18 02:55:33 UTC 2025","","","",""
"","18","367 The ID and Назва filters functionality for Категорії сервісів page","Admin functionality","Mon Aug 18 02:55:33 UTC 2025","skipped","Mon Aug 18 02:55:33 UTC 2025","","","",""
"","20","C395 The number of service categories on the page functionality for Список сервісів page","Admin functionality","Mon Aug 18 02:55:33 UTC 2025","skipped","Mon Aug 18 02:55:33 UTC 2025","","","",""
"","22","C362 Verify that user unable to input more than 10 digits in 'РНОКПП (ІПН) ' field","User page verification (registrated via email)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","21","C357 Verify that user is unable to input more than 25 letters in Прізвище/Ім'я/По-батькові fields","User page verification (registrated via email)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","18","C368 The Знайти по назві search field functionality for Категорії сервісів page","Admin functionality","Mon Aug 18 02:55:33 UTC 2025","skipped","Mon Aug 18 02:55:33 UTC 2025","","","",""
"","3356","C260 Search the tender","Tenders functionality","Tue May 20 14:40:24 UTC 2025","passed","Tue May 20 14:40:27 UTC 2025","","","",""
"","12","C203 Authorization with invalid credentials","Login verification","Mon Aug 18 02:55:11 UTC 2025","skipped","Mon Aug 18 02:55:11 UTC 2025","","","",""
"","19","C372 The Видалення категорії button functionality for Категорії сервісів page","Admin functionality","Mon Aug 18 02:55:33 UTC 2025","skipped","Mon Aug 18 02:55:33 UTC 2025","","","",""
"","22","C349 Verify that validation message 'Це поле обов`язкове' appears when user clicks 'Зберегти' button with empty mandatory fields","User page verification (registrated via email)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","17","C437 The Видалення категорії button functionality for the Категорії техніки page","Admin functionality","Mon Aug 18 02:55:22 UTC 2025","skipped","Mon Aug 18 02:55:22 UTC 2025","","","",""
"","15","C377 Verify that the user unable to change the profile photo to one of the image with unavailable extensions","User page verification (verified phone account)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","19","C405 - Verify uploading of invalid size file","Create Unit page tests","Mon Aug 18 02:55:05 UTC 2025","skipped","Mon Aug 18 02:55:05 UTC 2025","","","",""
"","166","C341 Verify that user is able to fill all input fields on the page and the changes saved and success message is displayed after user click 'Зберегти' button","User page verification (verified phone account)","Mon Aug 18 02:55:18 UTC 2025","skipped","Mon Aug 18 02:55:18 UTC 2025","","","",""
"","16","C434 The numbers of service categories on the page functionality for the Категорії техніки page","Admin functionality","Mon Aug 18 02:55:22 UTC 2025","skipped","Mon Aug 18 02:55:22 UTC 2025","","","",""
